All device pins and their pinmux options
Pin,Name,Selected Mode,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
N6,B5/ GPIO216,,GPIO216,SCIA_TX,EMIF1_SDCKE,SPID_CLK,GPIO216,OUTPUTXBAR6,EQEP3_B,SD2_C3,GPIO216,EMIF1_CS3n,ESC_LATCH0,ESC_I2C_SDA,GPIO216,EPWM15_B,ESC_SYNC0,EMIF1_D13
M7,B8/ GPIO217,,GPIO217,CANA_TX,EMIF1_WEn,MCANA_TX,GPIO217,OUTPUTXBAR8,EQEP3_INDEX,SD2_C4,GPIO217,EMIF1_RNW,I2CA_SDA,SPID_PTE,GPIO217,EPWM16_B,LINB_TX,SPID_POCI
N7,B9/ GPIO218,,GPIO218,I2CA_SDA,EMIF1_CS0n,SPIA_PICO,GPIO218,EQEP4_A,LINB_TX,CLB_OUTPUTXBAR1,GPIO218,EMIF1_OEn,I2CA_SCL,,GPIO218,,,SPID_CLK
L12,GPIO224/ERRORSTS,,GPIO224,ERRORSTS,EMIF1_SDCKE,XCLKOUT,GPIO224,OUTPUTXBAR1,,,GPIO224,,,,GPIO224,SD2_C1,ESC_PDI_UC_IRQ,
J1,VREFLOC,VREFLOC
K1,VREFLOA,VREFLOA
K2,VREFHIA,VREFHIA
G1,C1/ GPIO200,,GPIO200,EQEP1_INDEX,EPWM17_B,SCIB_RX,GPIO200,EPWM12_B,SPIB_PTE,SD1_C4,GPIO200,MCANA_RX,EMIF1_CAS,ESC_TX1_DATA1,GPIO200,,SPIC_PTE,
L1,VSSA,VSSA
L2,VDDA,VDDA
J2,VREFHIC,VREFHIC
G3,C8/ GPIO202,,GPIO202,OUTPUTXBAR2,EQEP2_B,EPWM18_B,GPIO202,LINB_RX,SPIB_POCI,SD2_C1,GPIO202,PMBUSA_SDA,EMIF1_DQM1,ESC_TX1_DATA3,GPIO202,EPWM13_B,FSITXA_D1,
G2,C9/ GPIO201,,GPIO201,OUTPUTXBAR1,EQEP2_A,EPWM18_A,GPIO201,LINB_TX,SPIB_PICO,SD2_D1,GPIO201,PMBUSA_SCL,EMIF1_DQM0,ESC_TX1_DATA2,GPIO201,EPWM13_A,,
G4,C7/ GPIO198,C7_GPIO198,GPIO198,EQEP1_A,EPWM9_B,SPIA_PICO,GPIO198,,,,GPIO198,,,,GPIO198,,ESC_PDI_UC_IRQ,
C11,GPIO43,,GPIO43,,,EPWM14_B,GPIO43,EQEP4_B,I2CA_SCL,SD4_D4,GPIO43,,CLB_OUTPUTXBAR6,UARTA_RX,GPIO43,,FSIRXD_D1,SCIA_RX
C12,GPIO42,,GPIO42,,,EPWM14_A,GPIO42,EQEP4_A,I2CA_SDA,SD4_C4,GPIO42,,CLB_OUTPUTXBAR5,UARTA_TX,GPIO42,,FSIRXD_D0,SCIA_TX

